,PMID,LastName,ForeName,Initials,Affiliation
2055,2078,['Liondas'],['S'],['S'],
2056,2079,"['Pontonnier', 'Grandjean']","['G', 'H']","['G', 'H']",
2057,2080,"['Lareng', 'Bertrand']","['L', 'J C']","['L', 'JC']",
2058,2081,['Huraux-Rendu'],['C'],['C'],
2059,2082,['Catz'],['C'],['C'],
2060,2083,['Huraux-Rendu'],['C'],['C'],
2061,2084,"['Brioude', 'Bourgeois', 'Canet']","['R', 'M', 'J']","['R', 'M', 'J']",
2062,2085,"['Pontonnier', 'Bertrand', 'Grandjean', 'Grand-Jean', 'Betrand']","['G', 'J C', 'B', 'H', 'E']","['G', 'JC', 'B', 'H', 'E']",
2063,2086,"['Barrat', 'Seebacher']","['J', 'J']","['J', 'J']",
2064,2087,['Strang'],['L B'],['LB'],
2065,2088,"['Roux', 'Flouvat', 'Delaveau']","['A', 'B', 'P']","['A', 'B', 'P']",
2066,2089,['Barth'],['J G'],['JG'],
2067,2090,"['Stolz', 'Wienckowski', 'Brown']","['S B', 'L A', 'B S']","['SB', 'LA', 'BS']",
2068,2091,['Tuominen'],['M'],['M'],
2069,2092,"['Keyriläinen', 'Uustialo']","['O', 'A']","['O', 'A']",
2070,2093,['Steelman'],['C D'],['CD'],
2071,2094,"['Gracheva', 'Orlova']","['I V', 'N V']","['IV', 'NV']",
2072,2095,"['Chaĭkovskaia', 'Vakulenko', 'Braginskaia', 'Makarova']","['S M', 'N A', 'P S', 'R A']","['SM', 'NA', 'PS', 'RA']",
2073,2096,"['Givental', 'Kocherovskaia', 'Ploskirev', 'Ogneva', 'Lobacheva']","['N I', 'E Iu', 'N V', 'N S', 'E Sh']","['NI', 'EIu', 'NV', 'NS', 'ESh']",
2074,2097,"[""Gol'dshteĭn"", 'Torbochkina', 'Bartoshevich']","['V L', 'L I', 'Iu E']","['VL', 'LI', 'IuE']",
2075,2098,"['Levine', 'Hornick']","['M M', 'R B']","['MM', 'RB']",
2076,2099,"['Larsson', 'Norén', 'Odham']","['K', 'B', 'G']","['K', 'B', 'G']",
2077,2100,"['Coleman', 'Bhattacharjee']","['J S', 'J K']","['JS', 'JK']",
2078,2101,['Görts'],['C P'],['CP'],
2079,2102,"['Failla', 'Benedict', 'Weinberg']","['M L', 'C D', 'E D']","['ML', 'CD', 'ED']",
2080,2103,['Manning'],['H L'],['HL'],
2081,2104,"['Buchanan', 'Ayres']","['R L', 'J C']","['RL', 'JC']",
2082,2105,"['Reade', 'Gregory']","['A E', 'K F']","['AE', 'KF']",
2083,2106,"['Bitton', 'Fox', 'Strickland']","['G', 'J L', 'H G']","['G', 'JL', 'HG']",
2084,2107,,,,
2085,2108,"['Bradshaw', 'Peeler', 'Twedt']","['J G', 'J T', 'R M']","['JG', 'JT', 'RM']",
2086,2109,"['Marchand', 'Dulos']","['A', 'E']","['A', 'E']",
2087,2110,"['Prahl', 'Wilken-Jensen', 'Mygind']","['P', 'K', 'N']","['P', 'K', 'N']",
2088,2111,"['Harken', 'Woods']","['A H', 'M']","['AH', 'M']",
2089,2112,"['Laks', 'Dmochowski', 'Couch']","['H', 'J R', 'N P']","['H', 'JR', 'NP']",
2090,2113,"['Larsen', 'Yeh', 'Gentsch', 'Traad', 'Faraldo', 'Gosselin', 'Swaye']","['P B', 'B K', 'T O', 'E A', 'A R', 'A J', 'P S']","['PB', 'BK', 'TO', 'EA', 'AR', 'AJ', 'PS']",
2091,2114,"['Subramanian', 'Berger']","['V A', 'R L']","['VA', 'RL']",
2092,2115,"['Carrier', 'Matheny', 'Ahlquist']","['G O', 'J L', 'R P']","['GO', 'JL', 'RP']",
2093,2116,['Castro-Tavares'],['J'],['J'],
2094,2117,['Sansone'],['M'],['M'],
2095,2118,"['Zaumseil', 'Kersten', 'Bräunlich']","['J', 'L', 'H']","['J', 'L', 'H']",
2096,2119,"['Gailis', 'Nguyen']","['L', 'M H']","['L', 'MH']",
2097,2120,"['Matheny', 'Ahlquist']","['J L', 'R P']","['JL', 'RP']",
2098,2121,"['Wagner', 'Reinhardt', 'Huppertz']","['J', 'D', 'W']","['J', 'D', 'W']",
2099,2122,"['Downes', 'Wayson', 'Edney', 'Gerber']","['H', 'K A', 'S M', 'N']","['H', 'KA', 'SM', 'N']",
2100,2123,"['Huck', 'Stacher', 'Gogolák', 'Stumpf']","['S', 'G', 'G', 'C']","['S', 'G', 'G', 'C']",
2101,2124,"['Bevan', 'Haeusler']","['J A', 'G']","['JA', 'G']",
2102,2125,"['Sassine', 'Bourgeois', 'Macabies']","['A', 'J M', 'J']","['A', 'JM', 'J']",
2103,2126,"['Alderdice', 'Weiss']","['M T', 'G B']","['MT', 'GB']",
2104,2127,"['Levi', 'Coburn', 'Kleeman']","['J', 'J', 'C R']","['J', 'J', 'CR']",
2105,2128,"['Oster', 'Lee', 'Lespier', 'Pellegrini', 'Vaamonde']","['J R', 'S M', 'L E', 'E L', 'C A']","['JR', 'SM', 'LE', 'EL', 'CA']",
2106,2129,"['Whelton', 'Carter', 'Bryant', 'Fox', 'Walker']","['A', 'G G', 'H H', 'L', 'W G']","['A', 'GG', 'HH', 'L', 'WG']",
2107,2130,['Klöck'],['F K'],['FK'],
2108,2131,"['Conradt', 'Schlotter', 'Unbehaun', 'Scheider', 'Friedrich', 'Schindler', 'Weber', 'Heller']","['A', 'C M', 'V', 'V', 'E', 'A E', 'H', 'S']","['A', 'CM', 'V', 'V', 'E', 'AE', 'H', 'S']",
2109,2132,"['Lippert', 'De Grandi', 'Hinselmann', 'Fridrich']","['T H', 'P B', 'M', 'R']","['TH', 'PB', 'M', 'R']",
2110,2133,"['Wernicke', 'Schulz', 'Lade', 'Berg']","['K', 'J', 'R', 'D']","['K', 'J', 'R', 'D']",
2111,2134,['Scholtes'],['G'],['G'],
2112,2135,['Mross'],['F'],['F'],
2113,2136,['Wallenburg'],['H C'],['HC'],
2114,2137,"['Lamberti', 'Closs']","['G', 'H P']","['G', 'HP']",
2115,2138,"['Roemer', 'Harms', 'Hammacher', 'Hinselmann']","['V M', 'K', 'K', 'M']","['VM', 'K', 'K', 'M']",
2116,2139,"['Dubler', 'Nagl']","['O', 'F']","['O', 'F']",
2117,2140,"['von Ritter', 'Schubring', 'Sauer']","['S', 'C', 'H J']","['S', 'C', 'HJ']",
2118,2141,"['Beck', 'Schlebusch', 'Dolff']","['K J', 'H', 'J W']","['KJ', 'H', 'JW']",
2119,2142,"['Pocock', 'Garwes']","['D H', 'D J']","['DH', 'DJ']",
2120,2143,"['Jariwalla', 'Grossberg', 'Sedmak']","['R', 'S E', 'J J']","['R', 'SE', 'JJ']",
2121,2144,['Olofsson'],['S'],['S'],
2122,2145,"['Alexander', 'Collins']","['D J', 'M S']","['DJ', 'MS']",
2123,2146,['Duff'],['E J'],['EJ'],
2124,2148,['Tyson'],['J'],['J'],
2125,2147,"['Nahas', 'Valle', 'Oliveira-Filho', 'Issao']","['M S', 'L B', 'R M', 'M']","['MS', 'LB', 'RM', 'M']",
2126,2149,"['Ivey', 'Parsons', 'Weatherby']","['K J', 'C', 'R']","['KJ', 'C', 'R']",
2127,2150,"['Myers', 'Officer']","['N A', 'C B']","['NA', 'CB']",
2128,2151,"['Barnett', 'Marks']","['A J', 'R']","['AJ', 'R']",
2129,2152,"['Marotta', 'Garcy']","['S F', 'A M']","['SF', 'AM']",
2130,2153,"['Loreau', 'Lepreux', 'Ardaillou']","['N', 'C', 'R']","['N', 'C', 'R']",
2131,2154,"['Hannah', 'Sahib']","['R', 'M K']","['R', 'MK']",
2132,2155,"['Blackshear', 'Holloway', 'Alberti']","['P J', 'P A', 'K G']","['PJ', 'PA', 'KG']",
2133,2156,"['Butler', 'Darbre', 'Arnstein']","['M', 'A', 'H R']","['M', 'A', 'HR']",
2134,2157,"['Titheradge', 'Coore']","['M A', 'H G']","['MA', 'HG']",
2135,2158,"['Michelacci', 'Dietrich']","['Y M', 'C P']","['YM', 'CP']",
2136,2159,['Verbruggen'],['R'],['R'],
2137,2160,['Grazi'],['E'],['E'],
2138,2161,"['McCroskery', 'Richards', 'Harris']","['P A', 'J F', 'E D']","['PA', 'JF', 'ED']",
2139,2162,"['Avila', 'Convit']","['J L', 'J']","['JL', 'J']",
2140,2163,"['McMartin', 'Makar', 'Martin', 'Palese', 'Tephly']","['K E', 'A B', 'G', 'M', 'T R']","['KE', 'AB', 'G', 'M', 'TR']",
2141,2164,"['Rabin', 'Weinberger']","['E Z', 'V']","['EZ', 'V']",
2142,2165,"['Attili', 'Autizi', 'Capocaccia']","['A F', 'D', 'L']","['AF', 'D', 'L']",
2143,2166,"['Baker', 'Sawyer']","['A P', 'J L']","['AP', 'JL']",
2144,2167,"['Beatty', 'Neal']","['P', 'R A']","['P', 'RA']",
2145,2168,"['Nielsen', 'Stumpf']","['N C', 'P K']","['NC', 'PK']",
2146,2169,"['Ishida', 'Takahashi']","['R', 'T']","['R', 'T']",
2147,2170,"['Ivanetich', 'Marsh', 'Bradshaw', 'Kaminsky']","['K M', 'J A', 'J J', 'L S']","['KM', 'JA', 'JJ', 'LS']",
2148,2171,"['Docks', 'Krishna']","['E L', 'G']","['EL', 'G']",
2149,2172,"['Rooney', ""O'Donovan""]","['E', 'D J']","['E', 'DJ']",
2150,2173,"['Numata', 'Ikuta', 'Kato', 'Nagatsu', 'Sugimoto', 'Matsuura']","['Y', 'K', 'T', 'T', 'T', 'S']","['Y', 'K', 'T', 'T', 'T', 'S']",
2151,2174,"['Lostanlen', 'Oudea', 'Godard-Launay', 'Oudea']","['D', 'M C', 'A N', 'P']","['D', 'MC', 'AN', 'P']",
2152,2175,"['Belin', 'Kouyoumdjian', 'Bardakdjian', 'Gonnard']","['M F', 'J C', 'J', 'P']","['MF', 'JC', 'J', 'P']",
2153,2176,"['Hunter', 'Neal']","['A L', 'R A']","['AL', 'RA']",
2154,2177,"['Keeler', 'Sharma']","['J D', 'R P']","['JD', 'RP']",
2155,2269,['Naitana'],['A'],['A'],
2156,2270,"['Pasqualino', 'Tessitore']","['A', 'V']","['A', 'V']",
2157,2271,"['Lees', 'Gaskell']","['G H', 'P H']","['GH', 'PH']",
2158,2272,"['Spencer-Peet', 'Wood', 'Glatt', 'Wiseman']","['J', 'D C', 'M M', 'S M']","['J', 'DC', 'MM', 'SM']",
2159,2273,['McGuinness'],['B W'],['BW'],
2160,2274,"['Sheth', 'Ranadive', 'Suraiya', 'Sheth']","['N A', 'K J', 'J N', 'A R']","['NA', 'KJ', 'JN', 'AR']",
2161,2275,"['Singh', 'Venkitasubramanian']","['N', 'T A']","['N', 'TA']",
2162,2276,"['Holmquist', 'Vallee']","['B', 'B L']","['B', 'BL']",
2163,2277,"['Duckworth', 'Tong']","['H W', 'E K']","['HW', 'EK']",
2164,2278,"['Maycock', 'Abeles', 'Salach', 'Singer']","['A L', 'R H', 'J I', 'T P']","['AL', 'RH', 'JI', 'TP']",
2165,2279,"['Chan', 'Huang', 'Sih']","['J A', 'F C', 'C J']","['JA', 'FC', 'CJ']",
2166,2280,"['Carter', 'Chae']","['D B', 'C B']","['DB', 'CB']",
2167,2281,"['Vogel', 'Steinhart']","['G', 'R']","['G', 'R']",
2168,2282,"['Mabrey', 'Klotz']","['S', 'I M']","['S', 'IM']",
2169,2283,"['Osborne', 'Palumbo', 'Brewer', 'Edelhoch']","['J C', 'G', 'H B', 'H']","['JC', 'G', 'HB', 'H']",
2170,2284,"['Bauer', 'Limkilde', 'Johansen']","['R', 'P', 'J T']","['R', 'P', 'JT']",
2171,2285,"['Mizrahi', 'Wood', 'Cusanovich']","['I A', 'F E', 'M A']","['IA', 'FE', 'MA']",
2172,2286,"['Musiani', 'Tomasi']","['P', 'T B']","['P', 'TB']",
2173,2287,"['Emi', 'Myers', 'Iacobucci']","['S', 'D V', 'G A']","['S', 'DV', 'GA']",
2174,2288,"['Fox', 'Kawaguchi', 'Greenberg', 'Preiss']","['J', 'K', 'E', 'J']","['J', 'K', 'E', 'J']",
2175,2289,"['Bazzone', 'Vallee']","['T J', 'B L']","['TJ', 'BL']",
